Group,SPKR,# Snt,# Wrd,Corr,Sub,Del,Ins,Err,S.Err
DC,n000025,47,238,113,66,59,30,155,41
DC,n000026,45,134,62,31,41,16,88,37
DC,n000027,69,272,135,71,66,18,155,53
DC,n000028,125,539,300,156,83,38,277,98
DC,n000029,63,214,154,37,23,9,69,31
DC,n000030,84,244,125,64,55,12,131,58
DC,n000031,80,343,253,41,49,12,102,43
DC,n000032,50,141,53,43,45,6,94,36
DC,n000033,51,159,68,53,38,11,102,41
DC,n000034,56,222,59,99,64,22,185,54
DC,n000036,52,163,87,40,36,8,84,41
DC,n000037,61,193,82,69,42,15,126,48
DC,n000038,90,293,137,76,80,17,173,67
DC,n000039,49,159,47,64,48,8,120,45
DC,n000040,63,253,170,53,30,28,111,46
DC,n000041,80,397,198,134,65,44,243,69
DC,n000042,56,178,99,48,31,10,89,42
DC,n000043,84,438,289,83,66,26,175,64
DC,n000044,37,140,91,24,25,10,59,28
DC,n000045,38,166,106,37,23,13,73,31
DC,n000046,42,150,81,37,32,10,79,31
DC,n000047,76,406,289,61,56,27,144,51
DC,n000048,40,168,68,44,56,9,109,36
DC,n000049,48,185,98,57,30,30,117,37
DC,n000050,48,213,153,38,22,22,82,38
DC,n000051,53,229,165,39,25,21,85,37
DC,n000052,58,204,122,45,37,20,102,39
DC,n000053,56,348,229,65,54,26,145,45
DC,n000054,87,448,333,80,35,48,163,63
DC,n000055,62,184,84,64,36,8,108,41
DC,n000056,63,240,152,53,35,21,109,48
DC,n000057,104,355,128,88,139,11,238,90
DC,n000058,71,315,206,68,41,27,136,52
DC,n000059,53,187,34,71,82,6,159,51
DC,n000060,93,461,322,65,74,33,172,64
DC,n000061,50,209,137,35,37,12,84,38
DC,n000062,43,144,80,25,39,6,70,28
DC,n000063,53,235,95,49,91,10,150,47
DC,n000064,79,384,188,109,87,29,225,66
DC,n000065,45,144,64,42,38,13,93,42
DC,n000066,46,185,136,35,14,20,69,32
DC,n000067,53,258,168,63,27,18,108,41
DC,n000068,58,225,141,47,37,11,95,41
DC,n000069,51,217,89,69,59,26,154,43
DC,n000070,55,192,84,41,67,20,128,39
DC,n000071,55,215,144,45,26,14,85,37
DC,n000072,48,227,135,44,48,26,118,34
DC,n000073,45,160,92,28,40,8,76,31
DC,n000074,41,158,111,31,16,16,63,27
DC,n000193,39,164,121,24,19,10,53,20
DC,n000194,42,247,131,50,66,22,138,34
DC,n000196,76,408,244,78,86,29,193,60
DC,n000197,40,178,130,29,19,14,62,22
DC,n000198,61,330,201,59,70,12,141,44
DC,n000199,44,180,103,45,32,10,87,32
DC,n000200,41,209,106,53,50,21,124,34
DC,n000201,46,163,41,40,82,4,126,42
DC,n000202,55,244,160,53,31,16,100,35
DC,n000203,44,145,50,42,53,13,108,37
DC,n000204,46,114,37,33,44,8,85,34
DC,n000205,40,133,56,37,40,4,81,31
DC,n000206,40,157,117,25,15,10,50,21
DC,n000207,38,150,74,39,37,5,81,31
DC,n000208,41,138,26,42,70,3,115,38
DC,n000209,49,168,78,42,48,11,101,42
DC,n000210,39,121,49,37,35,12,84,34
DC,n000211,39,151,79,40,32,5,77,30
DC,n000212,43,150,40,43,67,9,119,42
DC,n000213,46,178,53,51,74,11,136,44
DC,n000214,51,160,75,47,38,11,96,46
DC,n000215,39,133,77,27,29,10,66,24
DC,Sum,3955,15953,8804,3763,3386,1151,8300,3019
DC,Mean,55.7,224.7,124.0,53.0,47.7,16.2,116.9,42.5
DC,Median,51.0,192.0,106.0,45.0,41.0,13.0,108.0,41.0
