Diff,DC-Rd,DT-Rd,NnT-Rd,NnA-Rd,DOA-Rd,DC-HMI,DT-HMI,NnT-HMI,NnA-HMI,DOA-HMI
G2min-NoAaug,20.1,0.0,30.7,35.7,6.2,10.1,0.0,19.6,20.8,2.3
G2norm-NoAug,32.1,12.0,42.7,47.7,18.2,25.0,14.9,34.5,35.7,17.2
G2min-SP,15.2,0.0,32.9,38.6,6.8,8.5,0.0,23.6,25.5,6.9
G2norm-SP,28.2,13.0,45.9,51.6,19.8,19.6,11.1,34.7,36.6,18.0
G2min-SpSpecAug,16.6,0.0,31.2,39.1,7.3,12.0,0.0,24.1,28.0,10.8
G2norm-SpSpecAug,28.1,11.5,42.7,50.6,18.8,18.5,6.5,30.6,34.5,17.3
G2min-Ws,14.8,0.0,28.3,32.6,8.6,13.9,0.0,18.7,32.5,10.3
G2norm-Ws,23.2,8.4,36.7,41.0,17.0,0.4,-13.5,5.2,19.0,-3.2
G2min-WsFTcgn,18.5,0.0,35.3,38.4,5.8,5.9,0.0,22.0,20.7,6.3
G2norm-WsFTcgn,23.8,5.3,40.6,43.7,11.1,20.8,14.9,36.9,35.6,21.2
