Relative,DC-Rd,DT-Rd,NnT-Rd,NnA-Rd,DOA-Rd,DC-HMI,DT-HMI,NnT-HMI,NnA-HMI,DOA-HMI
G2min-NoAaug,0.93,0.0,1.43,1.66,0.29,0.26,0.0,0.51,0.54,0.06
G2norm-NoAug,3.38,1.26,4.49,5.02,1.92,1.05,0.63,1.46,1.51,0.73
G2min-SP,0.76,0.0,1.65,1.94,0.34,0.26,0.0,0.72,0.78,0.21
G2norm-SP,4.09,1.88,6.65,7.48,2.87,0.9,0.51,1.59,1.68,0.83
G2min-SpSpecAug,0.9,0.0,1.7,2.13,0.4,0.45,0.0,0.91,1.06,0.41
G2norm-SpSpecAug,4.07,1.67,6.19,7.33,2.72,0.93,0.33,1.54,1.73,0.87
G2min-Ws,0.58,0.0,1.11,1.28,0.34,0.34,0.0,0.46,0.8,0.25
G2norm-Ws,1.36,0.49,2.15,2.4,0.99,0.01,-0.25,0.1,0.35,-0.06
G2min-WsFTcgn,0.83,0.0,1.58,1.71,0.26,0.16,0.0,0.59,0.55,0.17
G2norm-WsFTcgn,4.24,1.87,6.4,6.79,2.62,0.92,0.66,1.63,1.57,0.93
